,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,8.866946983337403,1.5239098363843024,0.13444962501525878,0.0177029839688471,0.005,1e-07,0.01,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.01}",-0.10037555832462869,-0.13473554311547323,-0.2471349719714344,-0.23968189549282987,-0.15144590074383302,-0.17467477392963984,0.05853460908081125,38
1,8.284359884262084,1.2269615770322115,0.11503486633300782,0.010569388605174684,0.005,1e-07,0.05,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.05}",-0.08989913325527782,-0.12928834776018347,-0.2231419525170652,-0.2389479663085813,-0.11031020092686394,-0.15831752015359435,0.060880123346375964,2
2,10.01620535850525,1.1929227686509685,0.1262580394744873,0.02522633552681242,0.005,1e-07,0.1,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.1}",-0.09998332667270751,-0.13899370582218595,-0.23703456372126136,-0.23509237795048551,-0.13015924331159184,-0.16825264349564645,0.056861928990756275,24
3,6.9552665710449215,1.7925093999356867,0.09806294441223144,0.010001984157222742,0.005,1e-07,0.5,"{'d_c': 0.005, 'eps': 1e-07, 'l_r': 0.5}",-0.11821638154395173,-0.13253834311199694,-0.25460212206583177,-0.24729358816089847,-0.1365220661706964,-0.17783450021067504,0.06005099797963132,40
4,5.729247999191284,0.13677170691297094,0.10149850845336914,0.01399335496114305,0.005,0.0001,0.01,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.01}",-0.10078025747159366,-0.1348862795745073,-0.23489233905671467,-0.23714671829310058,-0.11656457782403684,-0.16485403444399063,0.05910496273445808,12
5,7.467997360229492,2.541108575811036,0.13049578666687012,0.03115134950371197,0.005,0.0001,0.05,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.05}",-0.09424191729583006,-0.13100138128467953,-0.2453647262879471,-0.2466526637143348,-0.11566970349784093,-0.16658607841612647,0.06589257772281065,17
6,9.124860668182373,1.8439150875431476,0.1078176498413086,0.019625557762780865,0.005,0.0001,0.1,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.1}",-0.09538246465984446,-0.12379095115928335,-0.2517551972444895,-0.2326383039015043,-0.11555073336984711,-0.16382353006699374,0.0649376638008183,9
7,6.47868857383728,0.17848285908043085,0.08237037658691407,0.005191617698485075,0.005,0.0001,0.5,"{'d_c': 0.005, 'eps': 0.0001, 'l_r': 0.5}",-0.10059847404551302,-0.13569189912693702,-0.23737881919005885,-0.23016584968910905,-0.11805631563926014,-0.1643782715381756,0.05778162255434238,10
8,9.5550133228302,2.024092394714018,0.12105517387390137,0.021357496888932775,0.005,0.1,0.01,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.01}",-0.1371492518278561,-0.13517383242472789,-0.2472548554378681,-0.24782552892302517,-0.15430753577068718,-0.18434220087683287,0.05202868256636181,46
9,6.11788969039917,0.04755769853088921,0.09097127914428711,0.004064214895734836,0.005,0.1,0.05,"{'d_c': 0.005, 'eps': 0.1, 'l_r': 0.05}",-0.10168377560132216,-0.12591645267475862,-0.24757996575744107,-0.2423073235793947,-0.11131761736602887,-0.16576102699578907,0.06513254695151414,16
