date,O3
2021-04-28 08:20:21,40
2021-04-28 08:29:07,46
2021-04-28 08:32:37,2
2021-04-28 08:33:07,2
2021-04-28 08:33:37,2
2021-04-28 08:34:07,2
2021-04-28 08:34:37,1
2021-04-28 08:35:07,1
2021-04-28 08:35:37,1
2021-04-28 08:36:08,1
2021-04-28 08:36:38,1
2021-04-28 08:37:08,1
2021-04-28 08:37:38,1
2021-04-28 08:38:08,1
2021-04-28 08:38:38,4
2021-04-28 08:39:08,4
2021-04-28 08:39:38,4
2021-04-28 08:40:08,4
2021-04-28 08:40:38,15
2021-04-28 08:41:08,15
2021-04-28 08:41:38,15
2021-04-28 08:42:08,15
2021-04-28 08:42:38,14
2021-04-28 08:43:08,14
2021-04-28 08:43:38,14
2021-04-28 08:44:08,14
2021-04-28 08:44:38,3
2021-04-28 08:44:54,48
2021-04-28 08:45:24,41
2021-04-28 08:45:54,37
2021-04-28 08:46:24,32
2021-04-28 08:46:54,49
2021-04-28 08:47:24,41
2021-04-28 08:47:54,38
2021-04-28 08:48:24,32
2021-04-28 08:48:54,31
2021-04-28 08:49:24,21
2021-04-28 08:49:54,36
2021-04-28 08:50:24,28
2021-04-28 08:50:54,50
2021-04-28 08:51:24,50
2021-04-28 08:53:24,41
2021-04-28 08:53:54,49
2021-04-28 08:54:24,36
2021-04-28 08:54:55,42
2021-04-28 08:55:48,49
2021-04-28 08:56:18,36
2021-04-28 08:56:48,45
2021-04-28 08:57:18,48
2021-04-28 08:57:48,48
2021-04-28 08:58:18,31
2021-04-28 08:58:48,43
2021-04-28 08:59:18,46
2021-04-28 08:59:48,49
2021-04-28 09:00:18,35
2021-04-28 09:01:48,43
2021-04-28 09:02:18,46
2021-04-28 09:02:48,41
2021-04-28 09:03:18,47
2021-04-28 09:03:48,51
2021-04-28 09:04:18,36
2021-04-28 09:04:48,36
2021-04-28 09:05:18,51
2021-04-28 09:05:48,42
2021-04-28 09:06:18,39
2021-04-28 09:06:48,34
2021-04-28 09:07:18,51
2021-04-28 09:07:48,45
2021-04-28 09:08:19,43
2021-04-28 09:08:49,31
